store_id,food_category,food_item,todays_date,expiry_date,quantity,unit
7,Frozen,Frozen Blueberries,2023-10-05,2023-11-24,36,packs
7,Frozen,Vanilla Ice Cream,2023-10-05,2023-11-30,30,liters
7,Frozen,Frozen Peas,2023-10-05,2023-12-23,30,packs
7,Frozen,Vanilla Ice Cream,2023-10-05,2023-12-05,37,liters
7,Frozen,Frozen Broccoli,2023-10-05,2023-12-17,11,packs
7,Frozen,Pepperoni Pizza,2023-10-05,2023-11-20,49,pieces
7,Frozen,Chocolate Ice Cream,2023-10-05,2023-11-16,23,liters
7,Frozen,Frozen Chicken Nuggets,2023-10-05,2023-12-06,21,packs
7,Frozen,Frozen Blueberries,2023-10-05,2023-12-14,14,packs
7,Frozen,Frozen Blueberries,2023-10-05,2023-12-28,10,packs
7,Frozen,Frozen Broccoli,2023-10-05,2023-11-18,19,packs
7,Frozen,Vanilla Ice Cream,2023-10-05,2023-12-12,19,liters
7,Beverages,Sparkling Water,2023-10-05,2023-11-12,42,liters
7,Beverages,Orange Juice,2023-10-05,2023-10-26,36,liters
7,Beverages,Apple Juice,2023-10-05,2023-10-29,41,liters
7,Beverages,Soy Milk,2023-10-05,2023-11-16,8,liters
7,Beverages,Soy Milk,2023-10-05,2023-10-23,4,liters
7,Beverages,Green Tea,2023-10-05,2023-11-10,45,packs
7,Beverages,Almond Milk,2023-10-05,2023-11-25,30,liters
7,Beverages,Sparkling Water,2023-10-05,2023-11-09,36,liters
7,Beverages,Green Tea,2023-10-05,2023-11-18,3,packs
7,Beverages,Orange Juice,2023-10-05,2023-10-24,2,liters
7,Beverages,Ground Coffee,2023-10-05,2023-12-02,8,packs
7,Beverages,Cola,2023-10-05,2023-10-28,23,liters
